Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T01:14:19.499078', 'src_ip': '40.74.250.23', 'payload_printable': '"GET / HTTP/1.0" 200 -'}
{'timestamp': '2024-11-24T01:14:19.710118', 'src_ip': '40.74.250.23', 'payload_printable': '"OPTIONS / HTTP/1.0" - -'}
{'timestamp': '2024-11-24T01:14:19.921805', 'src_ip': '40.74.250.23', 'payload_printable': '"GET /nice%20ports%2C/Tri%6Eity.txt%2ebak HTTP/1.0" 404 -'}
Stopping server.
Starting server on port 5000/udp
Using selector: EpollSelector
/tmp/ciscoasa/asa_server.py:293: DeprecationWarning: ssl.wrap_socket() is deprecated, use SSLContext.wrap_socket()
  httpd.socket = ssl.wrap_socket(httpd.socket, certfile=cert, server_side=True)
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2024-11-24T07:26:43.585576', 'src_ip': '92.255.57.58', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T07:31:31.159616', 'src_ip': '92.255.57.58', 'payload_printable': '"POST /Autodiscover/Autodiscover.xml HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T07:33:16.589516', 'src_ip': '92.255.57.58', 'payload_printable': '"POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 -'}
{'timestamp': '2024-11-24T07:34:38.399879', 'src_ip': '13.58.97.162', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T07:35:20.161719', 'src_ip': '13.58.97.162', 'payload_printable': 'Request timed out: TimeoutError('The read operation timed out')'}
{'timestamp': '2024-11-24T07:35:37.744107', 'src_ip': '92.255.57.58', 'payload_printable': '"GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 -'}
{'timestamp': '2024-11-24T07:38:24.589897', 'src_ip': '92.255.57.58', 'payload_printable': '"GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 404 -'}
{'timestamp': '2024-11-24T07:45:51.754272', 'src_ip': '92.255.57.58', 'payload_printable': '"GET /console/ HTTP/1.1" 404 -'}
{'timestamp': '2024-11-24T07:48:53.392642', 'src_ip': '92.255.57.58', 'payload_printable': '"GET /_ignition/execute-solution HTTP/1.1" 404 -'}
